Data Table for Weekly Deaths - The United States
Date generated: Thu Jun 26 2025 12:22:57 GMT-0600 (Mountain Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Dec  3 2022,2609,Jun 18 2025
United States,Nov 26 2022,2516,Jun 18 2025
United States,Nov 19 2022,2282,Jun 18 2025
United States,Nov 12 2022,2216,Jun 18 2025
United States,Nov  5 2022,2266,Jun 18 2025
United States,Oct 29 2022,2243,Jun 18 2025
United States,Oct 22 2022,2265,Jun 18 2025
United States,Oct 15 2022,2159,Jun 18 2025
United States,Oct  8 2022,2200,Jun 18 2025
United States,Oct  1 2022,2399,Jun 18 2025
United States,Sep 24 2022,2573,Jun 18 2025
United States,Sep 17 2022,2531,Jun 18 2025
United States,Sep 10 2022,2826,Jun 18 2025
United States,Sep  3 2022,2950,Jun 18 2025
United States,Aug 27 2022,3055,Jun 18 2025
United States,Aug 20 2022,3183,Jun 18 2025
United States,Aug 13 2022,3290,Jun 18 2025
United States,Aug  6 2022,3387,Jun 18 2025
United States,Jul 30 2022,3414,Jun 18 2025
United States,Jul 23 2022,3246,Jun 18 2025
United States,Jul 16 2022,2940,Jun 18 2025
United States,Jul  9 2022,2608,Jun 18 2025
United States,Jul  2 2022,2427,Jun 18 2025
United States,Jun 25 2022,2339,Jun 18 2025
United States,Jun 18 2022,2211,Jun 18 2025
United States,Jun 11 2022,2146,Jun 18 2025
United States,Jun  4 2022,2016,Jun 18 2025
United States,May 28 2022,1955,Jun 18 2025
United States,May 21 2022,1747,Jun 18 2025
United States,May 14 2022,1687,Jun 18 2025
United States,May  7 2022,1435,Jun 18 2025
United States,Apr 30 2022,1433,Jun 18 2025
United States,Apr 23 2022,1355,Jun 18 2025
United States,Apr 16 2022,1414,Jun 18 2025
United States,Apr  9 2022,1604,Jun 18 2025
United States,Apr  2 2022,1945,Jun 18 2025
United States,Mar 26 2022,2514,Jun 18 2025
United States,Mar 19 2022,3138,Jun 18 2025
United States,Mar 12 2022,4414,Jun 18 2025
United States,Mar  5 2022,6072,Jun 18 2025
United States,Feb 26 2022,8304,Jun 18 2025
United States,Feb 19 2022,11571,Jun 18 2025
United States,Feb 12 2022,15347,Jun 18 2025
United States,Feb  5 2022,18758,Jun 18 2025
United States,Jan 29 2022,20973,Jun 18 2025
United States,Jan 22 2022,21350,Jun 18 2025
United States,Jan 15 2022,19091,Jun 18 2025
United States,Jan  8 2022,15128,Jun 18 2025
United States,Jan  1 2022,11678,Jun 18 2025
United States,Dec 25 2021,10458,Jun 18 2025
United States,Dec 18 2021,10250,Jun 18 2025
United States,Dec 11 2021,9734,Jun 18 2025
United States,Dec  4 2021,8781,Jun 18 2025
United States,Nov 27 2021,7886,Jun 18 2025
United States,Nov 20 2021,7310,Jun 18 2025
United States,Nov 13 2021,7159,Jun 18 2025
United States,Nov  6 2021,7287,Jun 18 2025
United States,Oct 30 2021,7960,Jun 18 2025
United States,Oct 23 2021,8941,Jun 18 2025
United States,Oct 16 2021,9878,Jun 18 2025
United States,Oct  9 2021,11180,Jun 18 2025
United States,Oct  2 2021,12830,Jun 18 2025
United States,Sep 25 2021,14347,Jun 18 2025
United States,Sep 18 2021,15211,Jun 18 2025
United States,Sep 11 2021,15417,Jun 18 2025
United States,Sep  4 2021,15493,Jun 18 2025
United States,Aug 28 2021,14174,Jun 18 2025
United States,Aug 21 2021,12181,Jun 18 2025
United States,Aug 14 2021,9406,Jun 18 2025
United States,Aug  7 2021,6484,Jun 18 2025
United States,Jul 31 2021,4105,Jun 18 2025
United States,Jul 24 2021,2760,Jun 18 2025
United States,Jul 17 2021,1991,Jun 18 2025
United States,Jul 10 2021,1645,Jun 18 2025
United States,Jul  3 2021,1543,Jun 18 2025
United States,Jun 26 2021,1635,Jun 18 2025
United States,Jun 19 2021,1776,Jun 18 2025
United States,Jun 12 2021,2035,Jun 18 2025
United States,Jun  5 2021,2347,Jun 18 2025
United States,May 29 2021,2770,Jun 18 2025
United States,May 22 2021,3238,Jun 18 2025
United States,May 15 2021,3678,Jun 18 2025
United States,May  8 2021,4006,Jun 18 2025
United States,May  1 2021,4165,Jun 18 2025
United States,Apr 24 2021,4601,Jun 18 2025
United States,Apr 17 2021,4450,Jun 18 2025
United States,Apr 10 2021,4313,Jun 18 2025
United States,Apr  3 2021,4197,Jun 18 2025
United States,Mar 27 2021,4461,Jun 18 2025
United States,Mar 20 2021,4893,Jun 18 2025
United States,Mar 13 2021,5725,Jun 18 2025
United States,Mar  6 2021,6731,Jun 18 2025
United States,Feb 27 2021,8654,Jun 18 2025
United States,Feb 20 2021,10807,Jun 18 2025
United States,Feb 13 2021,13519,Jun 18 2025
United States,Feb  6 2021,17034,Jun 18 2025
United States,Jan 30 2021,20322,Jun 18 2025
United States,Jan 23 2021,23687,Jun 18 2025
United States,Jan 16 2021,25692,Jun 18 2025
United States,Jan  9 2021,25974,Jun 18 2025
United States,Jan  2 2021,24845,Jun 18 2025
United States,Dec 26 2020,23364,Jun 18 2025
United States,Dec 19 2020,22314,Jun 18 2025
United States,Dec 12 2020,20913,Jun 18 2025
United States,Dec  5 2020,18545,Jun 18 2025
United States,Nov 28 2020,15615,Jun 18 2025
United States,Nov 21 2020,13343,Jun 18 2025
United States,Nov 14 2020,10644,Jun 18 2025
United States,Nov  7 2020,8754,Jun 18 2025
United States,Oct 31 2020,7019,Jun 18 2025
United States,Oct 24 2020,5990,Jun 18 2025
United States,Oct 17 2020,5195,Jun 18 2025
United States,Oct 10 2020,4813,Jun 18 2025
United States,Oct  3 2020,4240,Jun 18 2025
United States,Sep 26 2020,4296,Jun 18 2025
United States,Sep 19 2020,4273,Jun 18 2025
United States,Sep 12 2020,4618,Jun 18 2025
United States,Sep  5 2020,5010,Jun 18 2025
United States,Aug 29 2020,5739,Jun 18 2025
United States,Aug 22 2020,6374,Jun 18 2025
United States,Aug 15 2020,7248,Jun 18 2025
United States,Aug  8 2020,7848,Jun 18 2025
United States,Aug  1 2020,8285,Jun 18 2025
United States,Jul 25 2020,8229,Jun 18 2025
United States,Jul 18 2020,7166,Jun 18 2025
United States,Jul 11 2020,5770,Jun 18 2025
United States,Jul  4 2020,4540,Jun 18 2025
United States,Jun 27 2020,3835,Jun 18 2025
United States,Jun 20 2020,3844,Jun 18 2025
United States,Jun 13 2020,4227,Jun 18 2025
United States,Jun  6 2020,5046,Jun 18 2025
United States,May 30 2020,6160,Jun 18 2025
United States,May 23 2020,7229,Jun 18 2025
United States,May 16 2020,9229,Jun 18 2025
United States,May  9 2020,11223,Jun 18 2025
United States,May  2 2020,13200,Jun 18 2025
United States,Apr 25 2020,15525,Jun 18 2025
United States,Apr 18 2020,17201,Jun 18 2025
United States,Apr 11 2020,16306,Jun 18 2025
United States,Apr  4 2020,10113,Jun 18 2025
United States,Mar 28 2020,3211,Jun 18 2025
United States,Mar 21 2020,586,Jun 18 2025
United States,Mar 14 2020,60,Jun 18 2025
United States,Mar  7 2020,38,Jun 18 2025
United States,Feb 29 2020,9,Jun 18 2025
United States,Feb 22 2020,6,Jun 18 2025
United States,Feb 15 2020,6,Jun 18 2025
United States,Feb  8 2020,4,Jun 18 2025
United States,Feb  1 2020,0,Jun 18 2025
United States,Jan 25 2020,3,Jun 18 2025
United States,Jan 18 2020,2,Jun 18 2025
United States,Jan 11 2020,1,Jun 18 2025
